5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	76.5	74	72	69.2	64.5	71.3	5	100
11/09/2015 00:05	76.8	73.6	70.3	69	64.5	70.8	5	100
11/09/2015 00:10	76.6	76.5	71.2	67.2	64.5	71.5	5	100
11/09/2015 00:15	76.5	73.9	67.3	69.5	64.4	70.2	5	100
11/09/2015 00:20	76.8	74.4	66.9	70.2	64.1	70.3	5	100
11/09/2015 00:25	77.1	74.9	69.7	73.3	64.9	72.3	5	100
11/09/2015 00:30	76.6	73.4	72.6	71	65.4	71.5	5	100
11/09/2015 00:35	76.6	74.2	73.3	69.9	65	71.7	5	100
11/09/2015 00:40	76.6	73.6	73.9	68.8	64.9	71.3	5	100
11/09/2015 00:45	76.6	74	74.1	68.7	64.8	72.5	5	100
11/09/2015 00:50	76.7	74.2	71.9	67.2	64.8	69.8	5	100
11/09/2015 00:55	76.7	73.5	72.1	68.6	64.9	70.7	5	100
11/09/2015 01:00	76.6	74	69.9	67.8	64.8	70.3	5	100
11/09/2015 01:05	76.5	73.9	70	68.7	64.7	70.8	5	100
11/09/2015 01:10	76.3	74	71	67.7	64.7	70.9	5	100
11/09/2015 01:15	76	74	71.9	64.1	64.5	69	5	100
11/09/2015 01:20	76.3	73.9	72.8	67.2	64.4	71.1	5	100
11/09/2015 01:25	76.4	73.8	73.3	66.6	64.5	70.5	5	100
11/09/2015 01:30	76.5	73.7	72.8	66.7	64.6	71.1	5	100
11/09/2015 01:35	76.2	74.2	72.7	65.3	64.6	70	5	100
11/09/2015 01:40	76.2	73.9	72.4	65.5	64.6	70.6	5	100
11/09/2015 01:45	76.4	73.7	72.5	64.5	64.6	70.4	5	100
11/09/2015 01:50	76.6	73.9	72.7	66.5	64.6	70.1	5	100
11/09/2015 01:55	76.4	74	72.2	67.4	64.7	70.5	5	100
11/09/2015 02:00	76.4	74.1	72	66.7	64.9	70.5	5	100
11/09/2015 02:05	76.6	74.1	70.6	66.9	64.4	70.1	5	100
11/09/2015 02:10	76.5	74.3	72.1	67.7	64.6	70.9	5	100
11/09/2015 02:15	76.4	74.3	71.6	61.7	64.7	67.2	5	100
11/09/2015 02:20	76.4	74.2	72.2	64.9	64.6	70.3	5	100
11/09/2015 02:25	76.4	74.1	69.5	66.5	64.6	70	5	100
11/09/2015 02:30	76.6	74.1	71.3	66.1	64.6	70.1	5	100
11/09/2015 02:35	76.6	74.2	72.2	66.8	64.3	70.5	5	100
11/09/2015 02:40	76.7	73.9	72.2	68	64.4	70.9	5	100
11/09/2015 02:45	76.7	73.5	72.2	67.9	64.5	71	5	100
11/09/2015 02:50	76.3	73.6	72.4	67.1	64.7	70.3	5	100
11/09/2015 02:55	76.5	74.1	70.1	67.9	64.7	70.3	5	100
11/09/2015 03:00	76.5	74	71	68.6	63.8	70.9	5	100
11/09/2015 03:05	76.5	73.9	72.4	68	64.3	70.7	5	100
11/09/2015 03:10	76.6	73.5	72.7	68.1	64.5	71.4	5	100
11/09/2015 03:15	76.7	73.9	72.4	69.3	64.6	72	5	100
11/09/2015 03:20	76.4	74.3	72.6	68.5	64.7	72.3	5	100
11/09/2015 03:25	76.4	74.2	73.3	69.4	64.1	72.5	5	100
11/09/2015 03:30	76.4	74.1	72.7	64.5	64.3	71.2	5	100
11/09/2015 03:35	76.4	73.8	72.4	66.3	64.7	71.2	5	100
11/09/2015 03:40	76.5	73.5	72.4	63.6	64.7	70.1	5	100
11/09/2015 03:45	76.7	72.8	71.5	56.8	64.8	68.7	5	100
11/09/2015 03:50	76.2	73	70.8	61.4	64.9	69.8	5	100
11/09/2015 03:55	76.7	73.4	67.4	64.6	64.6	69.9	5	100
