5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Lane 6 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	73.3	72	69.2	64.5	63.7	72.4	6	0
11/02/2015 00:05	76.5	73.5	71.9	68.2	64.4	63.6	72.5	6	0
11/02/2015 00:10	75	73.6	71.8	68.8	64.3	63.6	72.1	6	0
11/02/2015 00:15	74.9	73.6	71.8	68.7	64.3	63.5	72	6	0
11/02/2015 00:20	76.6	73.9	71.9	69.5	64.3	63.5	72.5	6	0
11/02/2015 00:25	76.6	73.9	71.9	69.3	64.3	63.4	72.7	6	0
11/02/2015 00:30	76	73.8	71.8	68.3	64.6	63.2	72.2	6	0
11/02/2015 00:35	75.7	74	72	68.8	64.3	63.1	72.4	6	0
11/02/2015 00:40	75.7	73.9	71.9	69.5	64.1	63.1	72.2	6	0
11/02/2015 00:45	76	73.8	71.9	69.8	64.3	63.1	72.7	6	0
11/02/2015 00:50	76.3	73.8	71.9	68.7	64.3	63.1	72.7	6	0
11/02/2015 00:55	76.4	73.9	72	68.5	64.5	63	72.1	6	0
11/02/2015 01:00	74.8	72.4	70.4	67.7	63.1	63.1	69.1	6	0
11/02/2015 01:05	75	72.5	70.5	67.8	63.2	63.2	69.1	6	0
11/02/2015 01:10	76.5	74	72	69.2	64.5	63.2	71.5	6	0
11/02/2015 01:15	76.5	74	72	69.2	64.5	63.3	72.5	6	0
11/02/2015 01:20	76.3	74	72.1	69	64.5	63.3	72.2	6	0
11/02/2015 01:25	76.1	74	72	68.7	64.5	63.3	72.3	6	0
11/02/2015 01:30	76.2	74	72	69	64.4	63.3	72.3	6	0
11/02/2015 01:35	76.3	74	72.1	69.3	64.7	63.3	72.3	6	0
11/02/2015 01:40	76.3	74	71.9	68.9	64.7	63.3	72.5	6	0
11/02/2015 01:45	75.6	73.9	71.8	67.4	63.9	63.2	71.5	6	0
11/02/2015 01:50	75.7	73.9	71.9	67.8	64.4	63.1	72.1	6	0
11/02/2015 01:55	75.7	73.9	72	68.6	64.3	63.1	71.9	6	0
11/02/2015 02:00	76.2	74	72.1	67.9	64.3	63.2	72.4	6	0
11/02/2015 02:05	76	74	72.1	67.1	64.2	63.1	71.8	6	0
11/02/2015 02:10	76.1	74	72	68.7	64.3	63.2	72.4	6	0
11/02/2015 02:15	76.4	73.9	71.9	68.2	64.3	63.2	71.3	6	0
11/02/2015 02:20	76.3	73.9	71.9	69	64.5	63.2	72	6	0
11/02/2015 02:25	76.2	74	72	68.7	64.3	63.2	72.4	6	0
11/02/2015 02:30	76.2	74	72	69.7	64.4	63.1	72	6	0
11/02/2015 02:35	76.1	74	72	69.9	64.2	63.1	72.4	6	0
11/02/2015 02:40	76.3	74.1	71.9	69.4	64.1	63	72.3	6	0
11/02/2015 02:45	76.2	74.1	71.9	69.1	64.4	62.9	72.3	6	0
11/02/2015 02:50	76	73.9	72	69.1	64.4	63	72.6	6	0
11/02/2015 02:55	75.9	73.9	72	68.8	64.4	62.9	72.2	6	0
11/02/2015 03:00	76.1	73.9	72	67.4	64.3	62.8	72.1	6	0
11/02/2015 03:05	76.3	74	71.9	67.9	64.3	62.8	72.8	6	0
11/02/2015 03:10	76.1	74	71.9	68.4	64.3	62.8	72.5	6	0
