5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	33	43	38	37	52	12	215	6	100
11/09/2015 00:05	36	48	38	40	51	8	221	6	100
11/09/2015 00:10	29	47	43	39	48	5	211	6	100
11/09/2015 00:15	30	47	53	37	48	5	220	6	100
11/09/2015 00:20	23	33	39	29	49	5	178	6	100
11/09/2015 00:25	30	44	44	27	46	9	200	6	100
11/09/2015 00:30	31	33	43	32	35	7	181	6	100
11/09/2015 00:35	21	32	29	32	38	6	158	6	100
11/09/2015 00:40	14	36	32	27	34	5	148	6	100
11/09/2015 00:45	14	28	26	17	30	3	118	6	100
11/09/2015 00:50	8	21	25	34	28	7	123	6	100
11/09/2015 00:55	16	27	18	25	25	4	115	6	100
11/09/2015 01:00	14	22	37	23	27	4	127	6	100
11/09/2015 01:05	16	25	21	19	47	3	131	6	100
11/09/2015 01:10	15	18	20	22	19	5	99	6	100
11/09/2015 01:15	10	22	22	17	24	2	97	6	100
11/09/2015 01:20	16	24	18	22	26	9	115	6	100
11/09/2015 01:25	9	18	16	18	16	4	81	6	100
11/09/2015 01:30	11	18	16	12	20	4	81	6	100
11/09/2015 01:35	10	17	24	18	17	3	89	6	100
11/09/2015 01:40	10	14	20	16	20	4	84	6	100
11/09/2015 01:45	15	23	17	18	22	2	97	6	100
11/09/2015 01:50	6	11	15	17	22	4	75	6	100
11/09/2015 01:55	7	18	15	18	16	2	76	6	100
11/09/2015 02:00	9	17	18	17	17	1	79	6	100
11/09/2015 02:05	9	14	22	5	16	2	68	6	100
11/09/2015 02:10	12	17	13	13	22	2	79	6	100
11/09/2015 02:15	6	9	18	21	14	3	71	6	100
11/09/2015 02:20	3	21	11	20	15	4	74	6	100
11/09/2015 02:25	5	9	13	12	14	0	53	6	100
11/09/2015 02:30	7	17	19	20	16	2	81	6	100
11/09/2015 02:35	4	15	20	16	13	1	69	6	100
11/09/2015 02:40	6	12	17	17	14	2	68	6	100
11/09/2015 02:45	3	17	14	10	18	2	64	6	100
11/09/2015 02:50	10	11	20	18	13	2	74	6	100
11/09/2015 02:55	11	15	17	13	10	5	71	6	100
11/09/2015 03:00	6	11	21	16	8	2	64	6	100
11/09/2015 03:05	9	16	16	16	17	1	75	6	100
11/09/2015 03:10	5	20	15	14	9	2	65	6	100
11/09/2015 03:15	11	16	23	12	14	1	77	6	100
11/09/2015 03:20	8	23	17	9	7	1	65	6	100
11/09/2015 03:25	11	21	17	18	21	2	90	6	100
11/09/2015 03:30	12	19	20	17	17	2	87	6	100
11/09/2015 03:35	17	39	26	18	23	3	126	6	100
11/09/2015 03:40	14	21	25	20	20	2	102	6	100
11/09/2015 03:45	17	28	24	22	24	1	116	6	100
11/09/2015 03:50	21	26	25	22	17	2	113	6	100
11/09/2015 03:55	25	38	37	22	22	1	145	6	100
11/09/2015 04:00	19	35	43	26	24	2	149	6	100
11/09/2015 04:05	20	33	35	32	31	0	151	6	100
11/09/2015 04:10	28	41	32	27	18	0	146	6	100
11/09/2015 04:15	42	52	58	34	29	2	217	6	100
11/09/2015 04:20	30	54	55	27	37	3	206	6	100
