5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	76.5	74	72	69.2	61.1	71.2	5	80
11/09/2015 00:05	76.4	74.3	71.7	69.3	60.8	70.6	5	80
11/09/2015 00:10	76.2	74.3	70.5	69.4	60.1	70.1	5	80
11/09/2015 00:15	76.7	74.6	70.7	69.5	58	70.1	5	80
11/09/2015 00:20	76.6	74.4	71.2	69.2	59.7	70.3	5	80
11/09/2015 00:25	76.6	74.3	71.8	69.1	60.9	70.1	5	80
11/09/2015 00:30	76.4	74.1	71.9	69.2	60.8	70.4	5	80
11/09/2015 00:35	76.6	74.1	72	69.3	60.8	70.5	5	80
11/09/2015 00:40	76.6	74	71.1	69.2	60.5	70.2	5	80
11/09/2015 00:45	76.6	73.9	71.1	69.2	60.5	69.8	5	80
11/09/2015 00:50	76.4	73.6	71.1	69.2	60.5	70.3	5	80
11/09/2015 00:55	76.4	73.8	71.6	69.1	59.4	69.4	5	80
11/09/2015 01:00	76.5	73.7	71.7	69.2	60.6	70	5	80
11/09/2015 01:05	76.5	74.1	71.9	69.3	60.8	69.8	5	80
11/09/2015 01:10	76.4	74.2	71.8	69.3	60.9	70.2	5	80
11/09/2015 01:15	76.3	74.1	71.8	69.3	60.8	69.6	5	80
11/09/2015 01:20	76.4	73.9	71.5	69.3	60.7	69.5	5	80
11/09/2015 01:25	76.4	73.9	71.5	69.3	60.7	69.6	5	80
11/09/2015 01:30	76.5	74	71.2	69.3	60.7	70.3	5	80
11/09/2015 01:35	76.4	73.9	71.3	69.3	60.6	68.9	5	80
11/09/2015 01:40	76.3	73.9	71.2	69.3	60.6	68.9	5	80
11/09/2015 01:45	76.3	74	71.3	69.3	60.6	69.5	5	80
11/09/2015 01:50	76.5	74	71.6	69.3	60.7	69.2	5	80
11/09/2015 01:55	76.5	73.9	71.6	69.2	60.7	68.4	5	80
11/09/2015 02:00	76.5	73.9	71.2	69.2	60.6	67.6	5	80
11/09/2015 02:05	76.1	73.7	71.8	69.1	60.9	69.1	5	80
11/09/2015 02:10	76.3	73.8	72	69.1	60.9	69	5	80
11/09/2015 02:15	76.5	73.6	72	69.3	61	68.6	5	80
11/09/2015 02:20	76.4	73.5	72.2	69.3	61.1	68.5	5	80
11/09/2015 02:25	76.5	73.8	71.6	69.2	60.6	68.4	5	80
11/09/2015 02:30	76.4	74.1	71.7	69.2	60.8	68.7	5	80
11/09/2015 02:35	76.4	74	71.8	69.1	60.7	67	5	80
11/09/2015 02:40	76.5	74	71.9	69.2	61	67.6	5	80
11/09/2015 02:45	76.5	74	72	69.1	61	68.7	5	80
11/09/2015 02:50	76.4	74.1	72.1	69.2	61	68.8	5	80
11/09/2015 02:55	76.5	74	72.3	69.1	61.2	68.9	5	80
11/09/2015 03:00	76.4	74	72.6	69.1	61.3	69	5	80
11/09/2015 03:05	76.3	74.2	72.5	69.1	61.2	69.1	5	80
11/09/2015 03:10	76.2	74.1	72.2	69	60.9	68.9	5	80
11/09/2015 03:15	76.4	74	72.2	69.1	60.7	69	5	80
11/09/2015 03:20	76.5	74	72.4	68.9	60.7	69	5	80
11/09/2015 03:25	76.4	73.7	72.1	69	60.7	68.4	5	80
11/09/2015 03:30	76.4	73.8	70.8	69.1	60.5	68.2	5	80
11/09/2015 03:35	76.4	74	70.7	69.1	60.3	69	5	80
11/09/2015 03:40	76.4	73.8	71	69.3	60.4	69.2	5	80
11/09/2015 03:45	76.4	73.9	71.5	69.3	60.7	69	5	80
11/09/2015 03:50	76.5	73.7	72	69.3	60.6	69.2	5	80
11/09/2015 03:55	76.3	73.8	71.9	69.3	60.7	69.4	5	80
11/09/2015 04:00	76.4	73.7	69.6	69.5	59.6	68	5	80
11/09/2015 04:05	76.4	73.8	69	68.7	59.3	68.2	5	80
11/09/2015 04:10	76.4	73.9	70.8	68.2	60.3	69.2	5	80
11/09/2015 04:15	76.2	73.6	70.2	68.6	58.8	69	5	80
11/09/2015 04:20	76.2	73.8	71.1	69	58	69	5	80
11/09/2015 04:25	76.1	74	70	69.1	58.5	69.6	5	80
11/09/2015 04:30	75.5	74.6	71.9	69	60.3	70.7	5	80
11/09/2015 04:35	75.9	74.6	72.3	69.3	61.1	70.6	5	80
11/09/2015 04:40	76.1	74.7	74.1	69.2	61.1	71.3	5	80
11/09/2015 04:45	75.8	74.6	72.8	69.2	61.1	71.1	5	80
11/09/2015 04:50	75.6	75	73.8	69.2	61.3	71.2	5	80
11/09/2015 04:55	75.3	75.2	72.4	69.2	60.6	71.2	5	80
11/09/2015 05:00	76.8	74.6	71.7	68.8	59	70.9	5	80
11/09/2015 05:05	76.7	74.3	72.3	67.9	60	71	5	80
11/09/2015 05:10	76.4	73.4	71.2	68	59.1	70.5	5	80
11/09/2015 05:15	77.2	74.8	71.4	68.7	60.7	71.5	5	80
11/09/2015 05:20	78.2	74.2	71.4	69.3	60.7	71.6	5	80
11/09/2015 05:25	77.1	72.6	72.8	70	60	71.7	5	80
11/09/2015 05:30	76.6	72.5	71.1	69.4	60	70.8	5	80
11/09/2015 05:35	76	73.4	74.1	69.7	60.4	72	5	80
11/09/2015 05:40	76.3	73.4	74.7	68.8	60.4	72	5	80
11/09/2015 05:45	75.7	73.4	71.2	69.8	60.4	71.4	5	80
11/09/2015 05:50	76	73.6	71.6	69.8	60.5	71.7	5	80
11/09/2015 05:55	76.2	73.3	75.7	69.5	60.4	72.3	5	80
11/09/2015 06:00	75.5	73.2	73.6	68.8	59.3	71.6	5	80
11/09/2015 06:05	74.3	73.4	70.6	72.3	58.6	71	5	80
11/09/2015 06:10	74.4	72.5	65.6	72.3	57.3	70	5	80
11/09/2015 06:15	74.3	72.3	67	73	57.9	70	5	80
11/09/2015 06:20	75.1	72.4	67.2	70.2	58.3	69.9	5	80
11/09/2015 06:25	73.5	71.5	67.4	69.2	58.4	69	5	80
11/09/2015 06:30	75.2	72	68.4	71.4	58.3	70.2	5	80
11/09/2015 06:35	76.7	74	70	71.9	58.5	71.5	5	80
11/09/2015 06:40	76	74.6	66.4	73.3	57.8	70.9	5	80
11/09/2015 06:45	76.6	72.4	64.9	72	56.9	69.7	5	80
11/09/2015 06:50	75.3	73.2	66.7	72.9	58	70.1	5	80
11/09/2015 06:55	76.4	74.6	68.7	72.4	59.1	71.2	5	80
11/09/2015 07:00	76.5	73.7	66.5	69.8	57.9	70	5	80
11/09/2015 07:05	75.9	74.1	67.4	68	58.1	69.9	5	80
11/09/2015 07:10	75	73	67	65.1	55.9	68.4	5	80
11/09/2015 07:15	73.8	71.6	67.7	63	57.3	67.8	5	80
11/09/2015 07:20	73.9	71.9	67	64.3	58.5	68	5	80
11/09/2015 07:25	74.8	72.2	66.5	64.5	58.6	68.3	5	80
11/09/2015 07:30	74.7	71.8	67.9	65.2	59	68.7	5	80
11/09/2015 07:35	75.1	71.7	66.6	63.7	58.1	68.1	5	80
11/09/2015 07:40	75.1	72.4	63.4	65.2	57.6	67.9	5	80
11/09/2015 07:45	75.4	74.1	64.4	66.1	58.9	68.7	5	80
11/09/2015 07:50	74.9	73.9	64.7	67.3	59.4	69.1	5	80
11/09/2015 07:55	75.3	72.2	66.6	67.5	59.8	69.4	5	80
11/09/2015 08:00	76.3	73.4	69.3	67.5	60.4	70.4	5	80
11/09/2015 08:05	74.7	72.4	67.5	66.5	59.4	69.2	5	80
11/09/2015 08:10	74.2	71.2	67.7	65.8	58.6	68.4	5	80
11/09/2015 08:15	73.4	70.7	67.1	66.1	58.2	68.1	5	80
11/09/2015 08:20	74.1	71.2	67.3	65.7	58.3	68.2	5	80
11/09/2015 08:25	74.3	71	65.1	65.6	57.6	67.6	5	80
11/09/2015 08:30	74.6	71	64.4	64.9	58.7	67.6	5	80
11/09/2015 08:35	74	71.3	61.1	63.1	56.6	66.7	5	80
11/09/2015 08:40	73.9	70.2	63.5	61.2	56.5	66.4	5	80
11/09/2015 08:45	74.1	71.6	64	60.5	56.4	66.8	5	80
11/09/2015 08:50	74.7	70.8	63.4	62.9	56.1	66.6	5	80
11/09/2015 08:55	74.2	70.8	64	65.1	56.2	67.4	5	80
11/09/2015 09:00	74.5	72	67.9	63.1	56.6	68.1	5	80
11/09/2015 09:05	75	71.6	66.8	67.1	58	68.6	5	80
11/09/2015 09:10	75.3	71	66.4	68.8	58.6	69	5	80
11/09/2015 09:15	75.8	71.9	62.2	69.5	57.5	68.6	5	80
11/09/2015 09:20	75.4	70.2	62.5	67.4	57.3	67.4	5	80
11/09/2015 09:25	74	70.5	59.4	67.8	55.8	66.6	5	80
11/09/2015 09:30	73.7	71.6	57.5	67	55.6	66.7	5	80
11/09/2015 09:35	74.8	72.7	56.4	68.1	56.1	66.9	5	80
11/09/2015 09:40	74	71.5	55.3	68.4	54.7	66.1	5	80
11/09/2015 09:45	74.2	72.7	57.7	68.7	55.7	67.3	5	80
11/09/2015 09:50	74.7	73.2	58.4	67.3	53.3	66.7	5	80
11/09/2015 09:55	74.8	72.1	59.1	68.7	55.5	67.2	5	80
11/09/2015 10:00	75.3	73.2	60.1	66.2	56.3	67.8	5	80
11/09/2015 10:05	74.8	72	58	64.7	55	66.4	5	80
11/09/2015 10:10	74.8	72.3	59.5	62.6	56.1	66.5	5	80
11/09/2015 10:15	75.2	70.5	56	64.2	56.3	66	5	80
11/09/2015 10:20	75.2	70.6	59.8	65.5	57.7	67.1	5	80
11/09/2015 10:25	74.5	70.3	57	66.5	58	66.4	5	80
11/09/2015 10:30	74.9	69.6	59.3	69.1	57.7	67.1	5	80
11/09/2015 10:35	74.8	70.9	59.3	69.9	57.7	67.3	5	80
11/09/2015 10:40	74.3	71.2	58.8	66	57.4	66.8	5	80
11/09/2015 10:45	74.3	72	61.6	66.4	57.9	67.8	5	80
11/09/2015 10:50	74.5	72.2	60.5	65.7	58.9	67.3	5	80
11/09/2015 10:55	75.9	70.9	58.6	67	58.2	66.9	5	80
11/09/2015 11:00	75.9	71.5	57.6	68.2	59.4	67.5	5	80
11/09/2015 11:05	74.4	69.5	56.6	67.4	58.4	66.5	5	80
11/09/2015 11:10	75.2	70	57.4	68.1	58.5	66.5	5	80
11/09/2015 11:15	76.6	71.1	57.8	68.6	59.2	67.6	5	80
11/09/2015 11:20	76	72	60	68.4	59.7	68	5	80
11/09/2015 11:25	76.7	72.1	61.4	69.7	59.7	68.9	5	80
11/09/2015 11:30	76	71.7	59.3	68.1	59.2	67.9	5	80
11/09/2015 11:35	74.3	69.9	55.5	67.6	58.6	66.4	5	80
11/09/2015 11:40	74.1	70.7	57.8	64.2	58.4	66.2	5	80
11/09/2015 11:45	74.5	69.7	57	67.5	58.5	66.2	5	80
11/09/2015 11:50	73.6	69.7	55.8	66.3	58.5	65.8	5	80
11/09/2015 11:55	72.8	69.1	56.3	66.1	58.2	65.5	5	80
11/09/2015 12:00	72.2	68.9	58.8	66.1	58.1	65.6	5	80
11/09/2015 12:05	72.2	68.5	56.6	63.9	56.8	64.8	5	80
11/09/2015 12:10	72.1	68	55.2	62.9	57.4	64.2	5	80
11/09/2015 12:15	73.2	69.3	56.5	65.5	56.4	65.5	5	80
